SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
LAKPRE,EQ,40.5,41,40,41,41,41.1,181,7323.1,10,INE651C01018
LAKSHMIEFL,EQ,37.25,39.5,37.25,38.05,38.25,38.1,431915,16541295.65,1183,INE992B01026
LAKSHVILAS,EQ,200,201.4,196.5,197.45,197,201.45,582234,115645533.85,3746,INE694C01018
LALPATHLAB,EQ,819.65,819.65,790.55,799.85,803.1,818.5,147248,117563097.8,18528,INE600L01024
LAMBODHARA,EQ,71.3,73,71.1,71.6,71.6,72.05,6959,499237.35,116,INE112F01022
LAOPALA,EQ,532.05,545,519,523,525.95,538,11055,5844096.15,759,INE059D01020
LAURUSLABS,EQ,612.95,615.4,606.05,610.3,609.9,612.95,147507,89868597.35,2445,INE947Q01010
M&M,EQ,1370,1375,1348.75,1356.05,1353,1370.3,827917,1124602077,28578,INE101A01026
M&MFIN,EQ,331,340.35,329.5,336.5,337.9,332,1495767,504288755.3,42092,INE774D01024
M100,EQ,18.48,18.48,18,18.01,18,18.29,11927,215903.88,136,INF247L01023
M50,EQ,90.5,90.5,89.5,89.5,89.5,90.9,828,74579.29,25,INF247L01536
MAANALU,EQ,179.95,179.95,168.2,175.6,174.5,175.1,5488,965443.9,96,INE215I01019
MADHAV,EQ,61.6,62.35,60.6,61.1,60.65,61.55,7760,476896.5,123,INE925C01016
MADHUCON,EQ,36.45,39.8,35.9,38.15,38.25,36.05,298633,11365273.8,2255,INE378D01032
MADRASFERT,EQ,23.5,23.5,22.5,22.85,22.75,22.85,34828,798153.8,145,INE414A01015
MAGMA,EQ,149,153.4,145.35,150.3,152.5,148.15,247828,36709424.2,5016,INE511C01022
MAGNUM,EQ,12.9,12.9,12.9,12.9,12.9,12.3,6022,77683.8,13,INE387I01016
MAHABANK,EQ,27.5,27.95,27.4,27.55,27.6,27.65,121071,3348716.95,649,INE457A01014
MAHASTEEL,EQ,59.3,72.1,55.95,71.7,72.1,60.1,162240,11043741.5,2081,INE451L01014
MAHINDCIE,EQ,231.95,235,228,229.4,229,230,56288,13046751.5,2067,INE536H01010
MAHLIFE,EQ,427.65,435.25,423.8,426.45,425,425.2,29877,12839332.2,768,INE813A01018
MAHSCOOTER,EQ,1874.95,1893.5,1864.55,1867.6,1865,1867.4,1698,3190866.65,121,INE288A01013
MAHSEAMLES,EQ,378.9,389.75,378.9,384.15,384,386.65,17533,6766416.2,779,INE271B01025
MAITHANALL,EQ,457.95,469.6,455.35,460.45,460.1,458.8,65104,30097095.95,3422,INE683C01011
MAJESCO,EQ,309.3,310,305.5,307.4,306.15,308.6,25846,7979305.25,719,INE898S01029
MALUPAPER,EQ,22.9,23.85,22.5,22.85,22.85,22.9,12959,300457.85,100,INE383H01017
